bin,k,q_squared,t,x_b,w,phi,cos_theta*gamma_gamma,D2_sigma_d_omega (nb/sr),D2_sigma_d_omega_stat_plus,D2_sigma_d_omega_stat_minus,D2_sigma_d_omega_sys_plus,D2_sigma_d_omega_sys_minus,link
,,0.767,,,1.53,75,-0.975,384,146,146,15.36,15.36,
,,0.767,,,1.53,105,-0.975,427,76,76,17.08,17.08,
,,0.767,,,1.53,135,-0.975,441,195,195,17.64,17.64,
,,0.767,,,1.53,165,-0.975,890,506,506,35.6,35.6,
,,0.875,,,1.53,15,-0.975,311,19,19,12.44,12.44,
,,0.875,,,1.53,45,-0.975,299,22,22,11.96,11.96,
,,0.875,,,1.53,75,-0.975,409,34,34,16.36,16.36,
,,0.875,,,1.53,105,-0.975,403,52,52,16.12,16.12,
,,0.875,,,1.53,135,-0.975,291,149,149,11.64,11.64,
,,0.875,,,1.53,165,-0.975,2850,1830,1830,114,114,
,,0.925,,,1.53,15,-0.975,269,26,26,10.76,10.76,
,,0.925,,,1.53,45,-0.975,313,23,23,12.52,12.52,
,,0.925,,,1.53,75,-0.975,360,20,20,14.4,14.4,
,,0.925,,,1.53,105,-0.975,510,42,42,20.4,20.4,
,,0.925,,,1.53,135,-0.975,501,159,159,20.04,20.04,
,,0.925,,,1.53,165,-0.975,630,278,278,25.2,25.2,
,,0.975,,,1.53,15,-0.975,262,27,27,10.48,10.48,
,,0.975,,,1.53,45,-0.975,340,23,23,13.6,13.6,
,,0.975,,,1.53,75,-0.975,430,22,22,17.2,17.2,
,,0.975,,,1.53,105,-0.975,368,37,37,14.72,14.72,
,,0.975,,,1.53,135,-0.975,148,103,103,5.92,5.92,
,,0.975,,,1.53,165,-0.975,1320,806,806,52.8,52.8,
,,1.025,,,1.53,15,-0.975,285,29,29,11.4,11.4,
,,1.025,,,1.53,45,-0.975,344,24,24,13.76,13.76,
,,1.025,,,1.53,75,-0.975,365,21,21,14.6,14.6,
,,1.025,,,1.53,105,-0.975,419,44,44,16.76,16.76,
,,1.025,,,1.53,135,-0.975,229,46,46,9.16,9.16,
,,1.025,,,1.53,165,-0.975,282,56,56,11.28,11.28,
,,1.075,,,1.53,15,-0.975,357,46,46,14.28,14.28,
,,1.075,,,1.53,45,-0.975,294,28,28,11.76,11.76,
,,1.075,,,1.53,75,-0.975,358,25,25,14.32,14.32,
,,1.075,,,1.53,105,-0.975,366,23,23,14.64,14.64,
,,1.075,,,1.53,135,-0.975,407,24,24,16.28,16.28,
,,1.075,,,1.53,165,-0.975,407,29,29,16.28,16.28,
,,1.125,,,1.53,15,-0.975,175,130,130,7,7,
,,1.125,,,1.53,45,-0.975,294,91,91,11.76,11.76,
,,1.125,,,1.53,75,-0.975,339,48,48,13.56,13.56,
,,1.125,,,1.53,105,-0.975,400,22,22,16,16,
,,1.125,,,1.53,135,-0.975,392,22,22,15.68,15.68,
,,1.125,,,1.53,165,-0.975,396,29,29,15.84,15.84,
,,1.85,,,1.53,15,-0.975,1030,804,804,41.2,41.2,
,,1.85,,,1.53,45,-0.975,,,,,,
,,1.85,,,1.53,75,-0.975,514,380,380,20.56,20.56,
,,1.85,,,1.53,105,-0.975,,,,,,
,,1.85,,,1.53,135,-0.975,,,,,,
,,1.85,,,1.53,165,-0.975,,,,,,
,,1.95,,,1.53,15,-0.975,83,23,23,3.32,3.32,
,,1.95,,,1.53,45,-0.975,164,27,27,6.56,6.56,
,,1.95,,,1.53,75,-0.975,156,18,18,6.24,6.24,
,,1.95,,,1.53,105,-0.975,126,14,14,5.04,5.04,
,,1.95,,,1.53,135,-0.975,179,21,21,7.16,7.16,
,,1.95,,,1.53,165,-0.975,126,23,23,5.04,5.04,
,,2.05,,,1.53,15,-0.975,103,17,17,4.12,4.12,
,,2.05,,,1.53,45,-0.975,135,16,16,5.4,5.4,
,,2.05,,,1.53,75,-0.975,174,14,14,6.96,6.96,
,,2.05,,,1.53,105,-0.975,163,15,15,6.52,6.52,
,,2.05,,,1.53,135,-0.975,143,22,22,5.72,5.72,
,,2.05,,,1.53,165,-0.975,117,28,28,4.68,4.68,
,,2.15,,,1.53,15,-0.975,116,25,25,4.64,4.64,
,,2.15,,,1.53,45,-0.975,122,21,21,4.88,4.88,
,,2.15,,,1.53,75,-0.975,94,17,17,3.76,3.76,
,,2.15,,,1.53,105,-0.975,176,33,33,7.04,7.04,
,,2.15,,,1.53,135,-0.975,263,97,97,10.52,10.52,
,,2.15,,,1.53,165,-0.975,166,106,106,6.64,6.64,
,,0.5,,,1.55,15,-0.975,286,49,49,11.44,11.44,
,,0.5,,,1.55,45,-0.975,447,53,53,17.88,17.88,
,,0.5,,,1.55,75,-0.975,511,46,46,20.44,20.44,
,,0.5,,,1.55,105,-0.975,622,97,97,24.88,24.88,
,,0.5,,,1.55,135,-0.975,879,504,504,35.16,35.16,
,,0.5,,,1.55,165,-0.975,3240,2290,2290,129.6,129.6,
,,0.567,,,1.55,15,-0.975,328,37,37,13.12,13.12,
,,0.567,,,1.55,45,-0.975,436,32,32,17.44,17.44,
,,0.567,,,1.55,75,-0.975,503,21,21,20.12,20.12,
,,0.567,,,1.55,105,-0.975,474,30,30,18.96,18.96,
,,0.567,,,1.55,135,-0.975,273,88,88,10.92,10.92,
,,0.567,,,1.55,165,-0.975,272,124,124,10.88,10.88,
,,0.633,,,1.55,15,-0.975,278,46,46,11.12,11.12,
,,0.633,,,1.55,45,-0.975,345,38,38,13.8,13.8,
,,0.633,,,1.55,75,-0.975,480,23,23,19.2,19.2,
,,0.633,,,1.55,105,-0.975,487,28,28,19.48,19.48,
,,0.633,,,1.55,135,-0.975,306,79,79,12.24,12.24,
,,0.633,,,1.55,165,-0.975,365,117,117,14.6,14.6,
,,0.7,,,1.55,15,-0.975,62,70,70,2.48,2.48,
,,0.7,,,1.55,45,-0.975,258,83,83,10.32,10.32,
,,0.7,,,1.55,75,-0.975,427,37,37,17.08,17.08,
,,0.7,,,1.55,105,-0.975,412,39,39,16.48,16.48,
,,0.7,,,1.55,135,-0.975,193,114,114,7.72,7.72,
,,0.7,,,1.55,165,-0.975,274,169,169,10.96,10.96,
,,0.767,,,1.55,15,-0.975,,,,,,
,,0.767,,,1.55,45,-0.975,,,,,,
,,0.767,,,1.55,75,-0.975,,,,,,
,,0.767,,,1.55,105,-0.975,440,454,454,17.6,17.6,
,,0.767,,,1.55,135,-0.975,,,,,,
,,0.767,,,1.55,165,-0.975,,,,,,
,,0.875,,,1.55,15,-0.975,235,18,18,9.4,9.4,
,,0.875,,,1.55,45,-0.975,301,20,20,12.04,12.04,
,,0.875,,,1.55,75,-0.975,313,19,19,12.52,12.52,
,,0.875,,,1.55,105,-0.975,271,79,79,10.84,10.84,
,,0.875,,,1.55,135,-0.975,,,,,,
,,0.875,,,1.55,165,-0.975,,,,,,
,,0.925,,,1.55,15,-0.975,237,20,20,9.48,9.48,
,,0.925,,,1.55,45,-0.975,312,19,19,12.48,12.48,
,,0.925,,,1.55,75,-0.975,403,23,23,16.12,16.12,
,,0.925,,,1.55,105,-0.975,133,57,57,5.32,5.32,
,,0.925,,,1.55,135,-0.975,,,,,,
,,0.925,,,1.55,165,-0.975,,,,,,
,,0.975,,,1.55,15,-0.975,272,22,22,10.88,10.88,
,,0.975,,,1.55,45,-0.975,334,20,20,13.36,13.36,
,,0.975,,,1.55,75,-0.975,387,24,24,15.48,15.48,
,,0.975,,,1.55,105,-0.975,339,58,58,13.56,13.56,
,,0.975,,,1.55,135,-0.975,286,60,60,11.44,11.44,
,,0.975,,,1.55,165,-0.975,302,72,72,12.08,12.08,
,,1.025,,,1.55,15,-0.975,306,30,30,12.24,12.24,
,,1.025,,,1.55,45,-0.975,358,24,24,14.32,14.32,
,,1.025,,,1.55,75,-0.975,328,21,21,13.12,13.12,
,,1.025,,,1.55,105,-0.975,318,20,20,12.72,12.72,
,,1.025,,,1.55,135,-0.975,361,25,25,14.44,14.44,
,,1.025,,,1.55,165,-0.975,225,24,24,9,9,
,,1.075,,,1.55,15,-0.975,277,71,71,11.08,11.08,
,,1.075,,,1.55,45,-0.975,244,42,42,9.76,9.76,
,,1.075,,,1.55,75,-0.975,336,27,27,13.44,13.44,
,,1.075,,,1.55,105,-0.975,339,18,18,13.56,13.56,
,,1.075,,,1.55,135,-0.975,313,21,21,12.52,12.52,
,,1.075,,,1.55,165,-0.975,274,27,27,10.96,10.96,
,,1.125,,,1.55,15,-0.975,278,102,102,11.12,11.12,
,,1.125,,,1.55,45,-0.975,189,61,61,7.56,7.56,
,,1.125,,,1.55,75,-0.975,366,32,32,14.64,14.64,
,,1.125,,,1.55,105,-0.975,298,18,18,11.92,11.92,
,,1.125,,,1.55,135,-0.975,270,23,23,10.8,10.8,
,,1.125,,,1.55,165,-0.975,243,31,31,9.72,9.72,
,,1.85,,,1.55,15,-0.975,158,79,79,6.32,6.32,
,,1.85,,,1.55,45,-0.975,138,44,44,5.52,5.52,
,,1.85,,,1.55,75,-0.975,182,35,35,7.28,7.28,
,,1.85,,,1.55,105,-0.975,101,24,24,4.04,4.04,
,,1.85,,,1.55,135,-0.975,107,29,29,4.28,4.28,
,,1.85,,,1.55,165,-0.975,134,41,41,5.36,5.36,
,,1.95,,,1.55,15,-0.975,101,17,17,4.04,4.04,
,,1.95,,,1.55,45,-0.975,116,15,15,4.64,4.64,
,,1.95,,,1.55,75,-0.975,137,13,13,5.48,5.48,
,,1.95,,,1.55,105,-0.975,144,13,13,5.76,5.76,
,,1.95,,,1.55,135,-0.975,125,20,20,5,5,
,,1.95,,,1.55,165,-0.975,62,20,20,2.48,2.48,
,,2.05,,,1.55,15,-0.975,77,12,12,3.08,3.08,
,,2.05,,,1.55,45,-0.975,121,13,13,4.84,4.84,
,,2.05,,,1.55,75,-0.975,121,12,12,4.84,4.84,
,,2.05,,,1.55,105,-0.975,145,18,18,5.8,5.8,
,,2.05,,,1.55,135,-0.975,26,18,18,1.04,1.04,
,,2.05,,,1.55,165,-0.975,,,,,,
,,2.15,,,1.55,15,-0.975,92,31,31,3.68,3.68,
,,2.15,,,1.55,45,-0.975,138,33,33,5.52,5.52,
,,2.15,,,1.55,75,-0.975,118,32,32,4.72,4.72,
,,2.15,,,1.55,105,-0.975,83,54,54,3.32,3.32,
,,2.15,,,1.55,135,-0.975,,,,,,
,,2.15,,,1.55,165,-0.975,,,,,,
,,0.433,,,1.57,15,-0.975,342,195,195,13.68,13.68,
,,0.433,,,1.57,45,-0.975,100,147,147,4,4,
,,0.433,,,1.57,75,-0.975,293,332,332,11.72,11.72,
,,0.433,,,1.57,105,-0.975,,,,,,
,,0.433,,,1.57,135,-0.975,,,,,,
,,0.433,,,1.57,165,-0.975,,,,,,
,,0.5,,,1.57,15,-0.975,421,33,33,16.84,16.84,
,,0.5,,,1.57,45,-0.975,464,28,28,18.56,18.56,
,,0.5,,,1.57,75,-0.975,548,27,27,21.92,21.92,
,,0.5,,,1.57,105,-0.975,488,145,145,19.52,19.52,
,,0.5,,,1.57,135,-0.975,,,,,,
,,0.5,,,1.57,165,-0.975,,,,,,
,,0.567,,,1.57,15,-0.975,286,28,28,11.44,11.44,
,,0.567,,,1.57,45,-0.975,422,24,24,16.88,16.88,
,,0.567,,,1.57,75,-0.975,440,19,19,17.6,17.6,
,,0.567,,,1.57,105,-0.975,407,63,63,16.28,16.28,
,,0.567,,,1.57,135,-0.975,,,,,,
,,0.567,,,1.57,165,-0.975,,,,,,
,,0.633,,,1.57,15,-0.975,284,43,43,11.36,11.36,
,,0.633,,,1.57,45,-0.975,339,33,33,13.56,13.56,
,,0.633,,,1.57,75,-0.975,474,24,24,18.96,18.96,
,,0.633,,,1.57,105,-0.975,340,57,57,13.6,13.6,
,,0.633,,,1.57,135,-0.975,,,,,,
,,0.633,,,1.57,165,-0.975,,,,,,
,,0.7,,,1.57,15,-0.975,324,414,414,12.96,12.96,
,,0.7,,,1.57,45,-0.975,299,205,205,11.96,11.96,
,,0.7,,,1.57,75,-0.975,431,85,85,17.24,17.24,
,,0.7,,,1.57,105,-0.975,327,150,150,13.08,13.08,
,,0.7,,,1.57,135,-0.975,,,,,,
,,0.7,,,1.57,165,-0.975,,,,,,
,,0.875,,,1.57,15,-0.975,222,16,16,8.88,8.88,
,,0.875,,,1.57,45,-0.975,258,14,14,10.32,10.32,
,,0.875,,,1.57,75,-0.975,333,22,22,13.32,13.32,
,,0.875,,,1.57,105,-0.975,,,,,,
,,0.875,,,1.57,135,-0.975,,,,,,
,,0.875,,,1.57,165,-0.975,,,,,,
,,0.925,,,1.57,15,-0.975,254,18,18,10.16,10.16,
,,0.925,,,1.57,45,-0.975,299,17,17,11.96,11.96,
,,0.925,,,1.57,75,-0.975,341,27,27,13.64,13.64,
,,0.925,,,1.57,105,-0.975,332,67,67,13.28,13.28,
,,0.925,,,1.57,135,-0.975,145,47,47,5.8,5.8,
,,0.925,,,1.57,165,-0.975,174,73,73,6.96,6.96,
,,0.975,,,1.57,15,-0.975,275,22,22,11,11,
,,0.975,,,1.57,45,-0.975,328,19,19,13.12,13.12,
,,0.975,,,1.57,75,-0.975,316,20,20,12.64,12.64,
,,0.975,,,1.57,105,-0.975,322,20,20,12.88,12.88,
,,0.975,,,1.57,135,-0.975,286,27,27,11.44,11.44,
,,0.975,,,1.57,165,-0.975,178,30,30,7.12,7.12,
,,1.025,,,1.57,15,-0.975,180,36,36,7.2,7.2,
,,1.025,,,1.57,45,-0.975,306,33,33,12.24,12.24,
,,1.025,,,1.57,75,-0.975,301,19,19,12.04,12.04,
,,1.025,,,1.57,105,-0.975,298,16,16,11.92,11.92,
,,1.025,,,1.57,135,-0.975,234,23,23,9.36,9.36,
,,1.025,,,1.57,165,-0.975,167,28,28,6.68,6.68,
,,1.075,,,1.57,15,-0.975,238,51,51,9.52,9.52,
,,1.075,,,1.57,45,-0.975,299,42,42,11.96,11.96,
,,1.075,,,1.57,75,-0.975,300,20,20,12,12,
,,1.075,,,1.57,105,-0.975,295,16,16,11.8,11.8,
,,1.075,,,1.57,135,-0.975,220,24,24,8.8,8.8,
,,1.075,,,1.57,165,-0.975,278,40,40,11.12,11.12,
,,1.125,,,1.57,15,-0.975,194,52,52,7.76,7.76,
,,1.125,,,1.57,45,-0.975,188,36,36,7.52,7.52,
,,1.125,,,1.57,75,-0.975,282,20,20,11.28,11.28,
,,1.125,,,1.57,105,-0.975,284,20,20,11.36,11.36,
,,1.125,,,1.57,135,-0.975,222,34,34,8.88,8.88,
,,1.125,,,1.57,165,-0.975,138,37,37,5.52,5.52,
,,1.85,,,1.57,15,-0.975,117,27,27,4.68,4.68,
,,1.85,,,1.57,45,-0.975,123,22,22,4.92,4.92,
,,1.85,,,1.57,75,-0.975,165,20,20,6.6,6.6,
,,1.85,,,1.57,105,-0.975,131,18,18,5.24,5.24,
,,1.85,,,1.57,135,-0.975,84,23,23,3.36,3.36,
,,1.85,,,1.57,165,-0.975,46,33,33,1.84,1.84,
,,1.95,,,1.57,15,-0.975,78,12,12,3.12,3.12,
,,1.95,,,1.57,45,-0.975,131,13,13,5.24,5.24,
,,1.95,,,1.57,75,-0.975,119,11,11,4.76,4.76,
,,1.95,,,1.57,105,-0.975,121,14,14,4.84,4.84,
,,1.95,,,1.57,135,-0.975,97,30,30,3.88,3.88,
,,1.95,,,1.57,165,-0.975,78,36,36,3.12,3.12,
,,2.05,,,1.57,15,-0.975,87,14,14,3.48,3.48,
,,2.05,,,1.57,45,-0.975,132,15,15,5.28,5.28,
,,2.05,,,1.57,75,-0.975,123,16,16,4.92,4.92,
,,2.05,,,1.57,105,-0.975,73,23,23,2.92,2.92,
,,2.05,,,1.57,135,-0.975,,,,,,
,,2.05,,,1.57,165,-0.975,1080,823,823,43.2,43.2,
,,0.433,,,,15,,592,101,101,23.68,23.68,
,,0.433,,,,45,,514,84,84,20.56,20.56,
,,0.433,,,,75,,605,160,160,24.2,24.2,
,,0.433,,,,105,,,,,,,
,,0.433,,,,135,,,,,,,
,,0.433,,,,165,,,,,,,
,,0.5,,,,15,,457,28,28,18.28,18.28,
,,0.5,,,,45,,471,23,23,18.84,18.84,
,,0.5,,,,75,,571,31,31,22.84,22.84,
,,0.5,,,,105,,,,,,,
,,0.5,,,,135,,,,,,,
,,0.5,,,,165,,,,,,,
,,0.567,,,,15,,414,30,30,16.56,16.56,
,,0.567,,,,45,,446,22,22,17.84,17.84,
,,0.567,,,,75,,456,25,25,18.24,18.24,
,,0.567,,,,105,,,,,,,
,,0.567,,,,135,,,,,,,
,,0.567,,,,165,,,,,,,
,,0.633,,,,15,,398,113,113,15.92,15.92,
,,0.633,,,,45,,406,62,62,16.24,16.24,
,,0.633,,,,75,,463,48,48,18.52,18.52,
,,0.633,,,,105,,,,,,,
,,0.633,,,,135,,,,,,,
,,0.633,,,,165,,,,,,,
,,0.875,,,,15,,282,15,15,11.28,11.28,
,,0.875,,,,45,,281,13,13,11.24,11.24,
,,0.875,,,,75,,244,26,26,9.76,9.76,
,,0.875,,,,105,,315,83,83,12.6,12.6,
,,0.875,,,,135,,99,72,72,3.96,3.96,
,,0.875,,,,165,,132,95,95,5.28,5.28,
,,0.925,,,,15,,315,21,21,12.6,12.6,
,,0.925,,,,45,,337,20,20,13.48,13.48,
,,0.925,,,,75,,372,23,23,14.88,14.88,
,,0.925,,,,105,,326,24,24,13.04,13.04,
,,0.925,,,,135,,231,38,38,9.24,9.24,
,,0.925,,,,165,,229,48,48,9.16,9.16,
,,0.975,,,,15,,330,38,38,13.2,13.2,
,,0.975,,,,45,,358,29,29,14.32,14.32,
,,0.975,,,,75,,354,18,18,14.16,14.16,
,,0.975,,,,105,,367,20,20,14.68,14.68,
,,0.975,,,,135,,210,34,34,8.4,8.4,
,,0.975,,,,165,,209,46,46,8.36,8.36,
,,1.025,,,,15,,298,42,42,11.92,11.92,
,,1.025,,,,45,,327,30,30,13.08,13.08,
,,1.025,,,,75,,314,17,17,12.56,12.56,
,,1.025,,,,105,,302,19,19,12.08,12.08,
,,1.025,,,,135,,277,47,47,11.08,11.08,
,,1.025,,,,165,,131,42,42,5.24,5.24,
,,1.075,,,,15,,311,43,43,12.44,12.44,
,,1.075,,,,45,,366,35,35,14.64,14.64,
,,1.075,,,,75,,350,19,19,14,14,
,,1.075,,,,105,,295,21,21,11.8,11.8,
,,1.075,,,,135,,240,55,55,9.6,9.6,
,,1.075,,,,165,,151,59,59,6.04,6.04,
,,1.125,,,,15,,195,50,50,7.8,7.8,
,,1.125,,,,45,,300,42,42,12,12,
,,1.125,,,,75,,310,23,23,12.4,12.4,
,,1.125,,,,105,,245,26,26,9.8,9.8,
,,1.125,,,,135,,212,26,26,8.48,8.48,
,,1.125,,,,165,,145,20,20,5.8,5.8,
,,1.75,,,,15,,,,,,,
,,1.75,,,,45,,257,124,124,10.28,10.28,
,,1.75,,,,75,,115,61,61,4.6,4.6,
,,1.75,,,,105,,200,96,96,8,8,
,,1.75,,,,135,,,,,,,
,,1.75,,,,165,,,,,,,
,,1.85,,,,15,,129,19,19,5.16,5.16,
,,1.85,,,,45,,124,15,15,4.96,4.96,
,,1.85,,,,75,,166,15,15,6.64,6.64,
,,1.85,,,,105,,133,17,17,5.32,5.32,
,,1.85,,,,135,,120,44,44,4.8,4.8,
,,1.85,,,,165,,285,133,133,11.4,11.4,
,,1.95,,,,15,,121,13,13,4.84,4.84,
,,1.95,,,,45,,143,12,12,5.72,5.72,
,,1.95,,,,75,,132,12,12,5.28,5.28,
,,1.95,,,,105,,139,27,27,5.56,5.56,
,,1.95,,,,135,,,,,,,
,,1.95,,,,165,,,,,,,
,,2.05,,,,15,,49,28,28,1.96,1.96,
,,2.05,,,,45,,208,52,52,8.32,8.32,
,,2.05,,,,75,,174,67,67,6.96,6.96,
,,2.05,,,,105,,,,,,,
,,2.05,,,,135,,,,,,,
,,2.05,,,,165,,,,,,,
