bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.51,-0.18,0.359,,15,0.1177,0.0052,0.0052,,,0.00355,0.0067,0.0067,,,https://doi.org/10.1038/s41467-017-01819-3
,5.55,1.51,-0.18,0.359,,45,0.1107,0.0052,0.0052,,,0.0117,0.0064,0.0064,,,
,5.55,1.51,-0.18,0.359,,75,0.0974,0.005,0.005,,,0.0116,0.006,0.006,,,
,5.55,1.51,-0.18,0.359,,105,0.091,0.0048,0.0048,,,0.000877,0.0055,0.0055,,,
,5.55,1.51,-0.18,0.359,,135,0.0807,0.0047,0.0047,,,0.0144,0.0052,0.0052,,,
,5.55,1.51,-0.18,0.359,,165,0.0718,0.0047,0.0047,,,0.0092,0.0051,0.0051,,,
,5.55,1.51,-0.18,0.359,,195,0.0793,0.0048,0.0048,,,0.00539,0.0052,0.0052,,,
,5.55,1.51,-0.18,0.359,,225,0.0863,0.0049,0.0049,,,-0.00299,0.0053,0.0053,,,
,5.55,1.51,-0.18,0.359,,255,0.0852,0.0049,0.0049,,,-0.0127,0.0056,0.0056,,,
,5.55,1.51,-0.18,0.359,,285,0.094,0.005,0.005,,,-0.00869,0.006,0.006,,,
,5.55,1.51,-0.18,0.359,,315,0.1045,0.0051,0.0051,,,-0.00348,0.0064,0.0064,,,
,5.55,1.51,-0.18,0.359,,345,0.1072,0.0051,0.0051,,,-0.00633,0.0066,0.0066,,,
,5.55,1.51,-0.237,0.359,,15,0.1055,0.0058,0.0058,,,0.0105,0.0068,0.0068,,,
,5.55,1.51,-0.237,0.359,,45,0.0967,0.0053,0.0053,,,0.0219,0.0062,0.0062,,,
,5.55,1.51,-0.237,0.359,,75,0.0877,0.0052,0.0052,,,0.0134,0.0057,0.0057,,,
,5.55,1.51,-0.237,0.359,,105,0.08,0.0052,0.0052,,,0.0141,0.0053,0.0053,,,
,5.55,1.51,-0.237,0.359,,135,0.0674,0.0051,0.0051,,,0.00121,0.0049,0.0049,,,
,5.55,1.51,-0.237,0.359,,165,0.0677,0.0058,0.0058,,,0.00108,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,195,0.0641,0.0058,0.0058,,,-0.00179,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,225,0.0775,0.0055,0.0055,,,0.00109,0.0051,0.0051,,,
,5.55,1.51,-0.237,0.359,,255,0.0889,0.0056,0.0056,,,-0.0114,0.0055,0.0055,,,
,5.55,1.51,-0.237,0.359,,285,0.1007,0.0057,0.0057,,,-0.0115,0.0059,0.0059,,,
,5.55,1.51,-0.237,0.359,,315,0.1045,0.0055,0.0055,,,-0.0199,0.0062,0.0062,,,
,5.55,1.51,-0.237,0.359,,345,0.1229,0.0059,0.0059,,,0.00169,0.0068,0.0068,,,
,5.55,1.52,-0.298,0.361,,15,0.1074,0.0087,0.0087,,,0.00557,0.0081,0.0081,,,
,5.55,1.52,-0.298,0.361,,45,0.085,0.006,0.006,,,0.00829,0.0064,0.0064,,,
,5.55,1.52,-0.298,0.361,,75,0.0706,0.0057,0.0057,,,0.0176,0.006,0.006,,,
,5.55,1.52,-0.298,0.361,,105,0.0635,0.0059,0.0059,,,0.0112,0.0059,0.0059,,,
,5.55,1.52,-0.298,0.361,,135,0.0658,0.0064,0.0064,,,0.00475,0.0057,0.0057,,,
,5.55,1.52,-0.298,0.361,,165,0.0603,0.0082,0.0082,,,-0.00268,0.0066,0.0066,,,
,5.55,1.52,-0.298,0.361,,195,0.0543,0.0082,0.0082,,,-0.00521,0.0069,0.0069,,,
,5.55,1.52,-0.298,0.361,,225,0.0696,0.0068,0.0068,,,-0.0053,0.0059,0.0059,,,
,5.55,1.52,-0.298,0.361,,255,0.0705,0.0064,0.0064,,,-0.000777,0.0061,0.0061,,,
,5.55,1.52,-0.298,0.361,,285,0.0824,0.0064,0.0064,,,-0.016,0.0063,0.0063,,,
,5.55,1.52,-0.298,0.361,,315,0.083,0.006,0.006,,,-0.0124,0.0065,0.0065,,,
,5.55,1.52,-0.298,0.361,,345,0.0898,0.0082,0.0082,,,-0.0133,0.008,0.008,,,
,5.55,1.74,-0.183,0.359,,7.5,0.0962,0.0033,0.0033,,,0.00457,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,22.5,0.0896,0.0032,0.0032,,,0.0082,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,37.5,0.0902,0.0032,0.0032,,,0.00177,0.0041,0.0041,,,
,5.55,1.74,-0.183,0.359,,52.5,0.0848,0.0031,0.0031,,,0.0099,0.004,0.004,,,
,5.55,1.74,-0.183,0.359,,67.5,0.0737,0.0029,0.0029,,,0.00799,0.0037,0.0037,,,
,5.55,1.74,-0.183,0.359,,82.5,0.0681,0.0028,0.0028,,,0.00943,0.0036,0.0036,,,
,5.55,1.74,-0.183,0.359,,97.5,0.0632,0.0026,0.0026,,,0.00507,0.0033,0.0033,,,
,5.55,1.74,-0.183,0.359,,112.5,0.057,0.0025,0.0025,,,0.00281,0.0032,0.0032,,,
,5.55,1.74,-0.183,0.359,,127.5,0.0536,0.0024,0.0024,,,0.00415,0.003,0.003,,,
,5.55,1.74,-0.183,0.359,,142.5,0.0505,0.0024,0.0024,,,-0.00243,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,157.5,0.0502,0.0023,0.0023,,,0.000722,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,172.5,0.0508,0.0024,0.0024,,,-0.00196,0.0028,0.0028,,,
,5.55,1.74,-0.183,0.359,,187.5,0.0527,0.0024,0.0024,,,0.000206,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,202.5,0.0512,0.0024,0.0024,,,-0.00409,0.0029,0.0029,,,
,5.55,1.74,-0.183,0.359,,217.5,0.0509,0.0024,0.0024,,,-0.00132,0.003,0.003,,,
,5.55,1.74,-0.183,0.359,,232.5,0.0571,0.0025,0.0025,,,-0.00558,0.0031,0.0031,,,
,5.55,1.74,-0.183,0.359,,247.5,0.06,0.0026,0.0026,,,-0.0031,0.0032,0.0032,,,
,5.55,1.74,-0.183,0.359,,262.5,0.0662,0.0027,0.0027,,,-0.00468,0.0034,0.0034,,,
,5.55,1.74,-0.183,0.359,,277.5,0.0721,0.0029,0.0029,,,-0.0108,0.0036,0.0036,,,
,5.55,1.74,-0.183,0.359,,292.5,0.0773,0.003,0.003,,,-0.0185,0.0038,0.0038,,,
,5.55,1.74,-0.183,0.359,,307.5,0.0759,0.003,0.003,,,-0.0097,0.0039,0.0039,,,
,5.55,1.74,-0.183,0.359,,322.5,0.0886,0.0031,0.0031,,,-0.00834,0.0041,0.0041,,,
,5.55,1.74,-0.183,0.359,,337.5,0.088,0.0032,0.0032,,,-0.00423,0.0042,0.0042,,,
,5.55,1.74,-0.183,0.359,,352.5,0.0948,0.0033,0.0033,,,0.0043,0.0043,0.0043,,,
,5.55,1.74,-0.242,0.359,,7.5,0.1009,0.0036,0.0036,,,0.00381,0.0043,0.0043,,,
,5.55,1.74,-0.242,0.359,,22.5,0.0875,0.0035,0.0035,,,0.0106,0.0042,0.0042,,,
,5.55,1.74,-0.242,0.359,,37.5,0.0879,0.0034,0.0034,,,0.0138,0.004,0.004,,,
,5.55,1.74,-0.242,0.359,,52.5,0.0802,0.0032,0.0032,,,0.0117,0.0037,0.0037,,,
,5.55,1.74,-0.242,0.359,,67.5,0.0646,0.0029,0.0029,,,0.0147,0.0034,0.0034,,,
,5.55,1.74,-0.242,0.359,,82.5,0.0588,0.0028,0.0028,,,0.00678,0.0032,0.0032,,,
,5.55,1.74,-0.242,0.359,,97.5,0.0546,0.0027,0.0027,,,0.00728,0.003,0.003,,,
,5.55,1.74,-0.242,0.359,,112.5,0.0512,0.0027,0.0027,,,0.00483,0.0029,0.0029,,,
,5.55,1.74,-0.242,0.359,,127.5,0.0471,0.0026,0.0026,,,0.00488,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,142.5,0.0412,0.0025,0.0025,,,0.0056,0.0027,0.0027,,,
,5.55,1.74,-0.242,0.359,,157.5,0.0411,0.0026,0.0026,,,0.00738,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,172.5,0.0435,0.0027,0.0027,,,0.0007,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,187.5,0.0448,0.0027,0.0027,,,0.00244,0.0029,0.0029,,,
,5.55,1.74,-0.242,0.359,,202.5,0.0433,0.0027,0.0027,,,-0.00428,0.0029,0.0029,,,
,5.55,1.74,-0.242,0.359,,217.5,0.0462,0.0027,0.0027,,,-0.00468,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,232.5,0.0501,0.0027,0.0027,,,-0.00586,0.0028,0.0028,,,
,5.55,1.74,-0.242,0.359,,247.5,0.0553,0.0027,0.0027,,,-0.00389,0.0029,0.0029,,,
,5.55,1.74,-0.242,0.359,,262.5,0.0563,0.0028,0.0028,,,-0.00457,0.0031,0.0031,,,
,5.55,1.74,-0.242,0.359,,277.5,0.0622,0.0029,0.0029,,,-0.0062,0.0033,0.0033,,,
,5.55,1.74,-0.242,0.359,,292.5,0.0691,0.0031,0.0031,,,-0.0161,0.0035,0.0035,,,
,5.55,1.74,-0.242,0.359,,307.5,0.0809,0.0032,0.0032,,,-0.0123,0.0038,0.0038,,,
,5.55,1.74,-0.242,0.359,,322.5,0.0882,0.0033,0.0033,,,-0.0101,0.004,0.004,,,
,5.55,1.74,-0.242,0.359,,337.5,0.0941,0.0034,0.0034,,,-0.00858,0.0042,0.0042,,,
,5.55,1.74,-0.242,0.359,,352.5,0.0971,0.0035,0.0035,,,-0.000411,0.0044,0.0044,,,
,5.55,1.74,-0.302,0.359,,7.5,0.0967,0.0041,0.0041,,,0.00263,0.0046,0.0046,,,
,5.55,1.74,-0.302,0.359,,22.5,0.0939,0.0039,0.0039,,,0.0135,0.0043,0.0043,,,
,5.55,1.74,-0.302,0.359,,37.5,0.0739,0.0035,0.0035,,,0.00849,0.0039,0.0039,,,
,5.55,1.74,-0.302,0.359,,52.5,0.0651,0.0032,0.0032,,,0.0116,0.0036,0.0036,,,
,5.55,1.74,-0.302,0.359,,67.5,0.0585,0.003,0.003,,,0.012,0.0033,0.0033,,,
,5.55,1.74,-0.302,0.359,,82.5,0.0588,0.003,0.003,,,0.0108,0.0031,0.0031,,,
,5.55,1.74,-0.302,0.359,,97.5,0.0489,0.0028,0.0028,,,0.00913,0.003,0.003,,,
,5.55,1.74,-0.302,0.359,,112.5,0.0488,0.0027,0.0027,,,0.00634,0.0028,0.0028,,,
,5.55,1.74,-0.302,0.359,,127.5,0.043,0.0027,0.0027,,,0.000153,0.0028,0.0028,,,
,5.55,1.74,-0.302,0.359,,142.5,0.0441,0.0028,0.0028,,,0.0014,0.0029,0.0029,,,
,5.55,1.74,-0.302,0.359,,157.5,0.0392,0.003,0.003,,,0.00282,0.0031,0.0031,,,
,5.55,1.74,-0.302,0.359,,172.5,0.0428,0.0032,0.0032,,,0.000368,0.0032,0.0032,,,
,5.55,1.74,-0.302,0.359,,187.5,0.0434,0.0032,0.0032,,,-0.000952,0.0032,0.0032,,,
,5.55,1.74,-0.302,0.359,,202.5,0.0436,0.003,0.003,,,-0.00516,0.003,0.003,,,
,5.55,1.74,-0.302,0.359,,217.5,0.039,0.0028,0.0028,,,-0.00344,0.0029,0.0029,,,
,5.55,1.74,-0.302,0.359,,232.5,0.0422,0.0026,0.0026,,,-0.00167,0.0028,0.0028,,,
,5.55,1.74,-0.302,0.359,,247.5,0.0453,0.0027,0.0027,,,-0.00597,0.0029,0.0029,,,
,5.55,1.74,-0.302,0.359,,262.5,0.0553,0.0028,0.0028,,,-0.00582,0.003,0.003,,,
,5.55,1.74,-0.302,0.359,,277.5,0.0594,0.003,0.003,,,-0.00795,0.0032,0.0032,,,
,5.55,1.74,-0.302,0.359,,292.5,0.0611,0.0031,0.0031,,,-0.00561,0.0034,0.0034,,,
,5.55,1.74,-0.302,0.359,,307.5,0.0683,0.0032,0.0032,,,-0.0097,0.0036,0.0036,,,
,5.55,1.74,-0.302,0.359,,322.5,0.078,0.0034,0.0034,,,-0.0128,0.0039,0.0039,,,
,5.55,1.74,-0.302,0.359,,337.5,0.0869,0.0037,0.0037,,,-0.00939,0.0042,0.0042,,,
,5.55,1.74,-0.302,0.359,,352.5,0.0927,0.0039,0.0039,,,-0.000195,0.0045,0.0045,,,
,5.55,1.75,-0.363,0.361,,7.5,0.0927,0.0053,0.0053,,,0.00148,0.0052,0.0052,,,
,5.55,1.75,-0.363,0.361,,22.5,0.0949,0.0046,0.0046,,,0.0071,0.0045,0.0045,,,
,5.55,1.75,-0.363,0.361,,37.5,0.0662,0.0036,0.0036,,,0.00994,0.0038,0.0038,,,
,5.55,1.75,-0.363,0.361,,52.5,0.0534,0.0031,0.0031,,,0.00722,0.0033,0.0033,,,
,5.55,1.75,-0.363,0.361,,67.5,0.0541,0.003,0.003,,,0.0103,0.0031,0.0031,,,
,5.55,1.75,-0.363,0.361,,82.5,0.0434,0.0029,0.0029,,,0.00888,0.0031,0.0031,,,
,5.55,1.75,-0.363,0.361,,97.5,0.0453,0.003,0.003,,,0.00622,0.0031,0.0031,,,
,5.55,1.75,-0.363,0.361,,112.5,0.0468,0.0029,0.0029,,,0.00422,0.003,0.003,,,
,5.55,1.75,-0.363,0.361,,127.5,0.0391,0.0027,0.0027,,,-0.000619,0.0029,0.0029,,,
,5.55,1.75,-0.363,0.361,,142.5,0.0392,0.003,0.003,,,0.00559,0.003,0.003,,,
,5.55,1.75,-0.363,0.361,,157.5,0.0399,0.0035,0.0035,,,0.000878,0.0035,0.0035,,,
,5.55,1.75,-0.363,0.361,,172.5,0.0411,0.004,0.004,,,-0.00333,0.0039,0.0039,,,
,5.55,1.75,-0.363,0.361,,187.5,0.0497,0.0042,0.0042,,,0.00106,0.004,0.004,,,
,5.55,1.75,-0.363,0.361,,202.5,0.0417,0.0035,0.0035,,,0.00229,0.0035,0.0035,,,
,5.55,1.75,-0.363,0.361,,217.5,0.041,0.003,0.003,,,-0.00317,0.003,0.003,,,
,5.55,1.75,-0.363,0.361,,232.5,0.0365,0.0027,0.0027,,,0.000798,0.0029,0.0029,,,
,5.55,1.75,-0.363,0.361,,247.5,0.041,0.0029,0.0029,,,-0.00175,0.0031,0.0031,,,
,5.55,1.75,-0.363,0.361,,262.5,0.045,0.003,0.003,,,-0.00648,0.0032,0.0032,,,
,5.55,1.75,-0.363,0.361,,277.5,0.0503,0.0032,0.0032,,,-0.00696,0.0033,0.0033,,,
,5.55,1.75,-0.363,0.361,,292.5,0.0527,0.0031,0.0031,,,-0.00459,0.0032,0.0032,,,
,5.55,1.75,-0.363,0.361,,307.5,0.0564,0.0032,0.0032,,,-0.00966,0.0034,0.0034,,,
,5.55,1.75,-0.363,0.361,,322.5,0.0703,0.0035,0.0035,,,-0.013,0.0037,0.0037,,,
,5.55,1.75,-0.363,0.361,,337.5,0.0744,0.0042,0.0042,,,-0.00622,0.0044,0.0044,,,
,5.55,1.75,-0.363,0.361,,352.5,0.0867,0.0052,0.0052,,,-0.0063,0.0051,0.0051,,,
,5.55,1.98,-0.182,0.357,,7.5,0.0924,0.0048,0.0048,,,0.000828,0.0067,0.0067,,,
,5.55,1.98,-0.182,0.357,,22.5,0.0928,0.0047,0.0047,,,0.000566,0.0065,0.0065,,,
,5.55,1.98,-0.182,0.357,,37.5,0.0831,0.0043,0.0043,,,0.0102,0.0062,0.0062,,,
,5.55,1.98,-0.182,0.357,,52.5,0.0757,0.0041,0.0041,,,0.0156,0.006,0.006,,,
,5.55,1.98,-0.182,0.357,,67.5,0.0767,0.0041,0.0041,,,0.0132,0.0058,0.0058,,,
,5.55,1.98,-0.182,0.357,,82.5,0.0676,0.0038,0.0038,,,0.0113,0.0054,0.0054,,,
,5.55,1.98,-0.182,0.357,,97.5,0.0654,0.0036,0.0036,,,0.0115,0.005,0.005,,,
,5.55,1.98,-0.182,0.357,,112.5,0.0588,0.0034,0.0034,,,-0.00253,0.0047,0.0047,,,
,5.55,1.98,-0.182,0.357,,127.5,0.0441,0.003,0.003,,,0.0115,0.0045,0.0045,,,
,5.55,1.98,-0.182,0.357,,142.5,0.0426,0.0029,0.0029,,,0.000268,0.0042,0.0042,,,
,5.55,1.98,-0.182,0.357,,157.5,0.0421,0.0028,0.0028,,,0.00602,0.0041,0.0041,,,
,5.55,1.98,-0.182,0.357,,172.5,0.0431,0.0028,0.0028,,,0.00177,0.0041,0.0041,,,
,5.55,1.98,-0.182,0.357,,187.5,0.0395,0.0028,0.0028,,,0.0042,0.0041,0.0041,,,
,5.55,1.98,-0.182,0.357,,202.5,0.0436,0.0029,0.0029,,,-0.000843,0.0041,0.0041,,,
,5.55,1.98,-0.182,0.357,,217.5,0.0501,0.0031,0.0031,,,-0.00476,0.0043,0.0043,,,
,5.55,1.98,-0.182,0.357,,232.5,0.0471,0.0031,0.0031,,,-0.00246,0.0046,0.0046,,,
,5.55,1.98,-0.182,0.357,,247.5,0.0588,0.0035,0.0035,,,-0.00472,0.0048,0.0048,,,
,5.55,1.98,-0.182,0.357,,262.5,0.0637,0.0036,0.0036,,,-0.0125,0.0052,0.0052,,,
,5.55,1.98,-0.182,0.357,,277.5,0.067,0.0038,0.0038,,,-0.0121,0.0055,0.0055,,,
,5.55,1.98,-0.182,0.357,,292.5,0.0736,0.0041,0.0041,,,-0.0153,0.0058,0.0058,,,
,5.55,1.98,-0.182,0.357,,307.5,0.0841,0.0043,0.0043,,,-0.0119,0.0061,0.0061,,,
,5.55,1.98,-0.182,0.357,,322.5,0.0864,0.0045,0.0045,,,-0.0123,0.0063,0.0063,,,
,5.55,1.98,-0.182,0.357,,337.5,0.0966,0.0047,0.0047,,,-0.00283,0.0064,0.0064,,,
,5.55,1.98,-0.182,0.357,,352.5,0.0975,0.0048,0.0048,,,-0.00144,0.0066,0.0066,,,
,5.55,1.98,-0.242,0.356,,7.5,0.0958,0.0054,0.0054,,,0.00672,0.0069,0.0069,,,
,5.55,1.98,-0.242,0.356,,22.5,0.0983,0.0052,0.0052,,,0.016,0.0066,0.0066,,,
,5.55,1.98,-0.242,0.356,,37.5,0.081,0.0046,0.0046,,,-0.0038,0.006,0.006,,,
,5.55,1.98,-0.242,0.356,,52.5,0.0713,0.0042,0.0042,,,0.0173,0.0055,0.0055,,,
,5.55,1.98,-0.242,0.356,,67.5,0.063,0.004,0.004,,,0.0195,0.005,0.005,,,
,5.55,1.98,-0.242,0.356,,82.5,0.0517,0.0036,0.0036,,,0.0131,0.0046,0.0046,,,
,5.55,1.98,-0.242,0.356,,97.5,0.0479,0.0034,0.0034,,,0.00978,0.0042,0.0042,,,
,5.55,1.98,-0.242,0.356,,112.5,0.0414,0.0032,0.0032,,,0.0116,0.004,0.004,,,
,5.55,1.98,-0.242,0.356,,127.5,0.0381,0.0031,0.0031,,,0.000977,0.0038,0.0038,,,
,5.55,1.98,-0.242,0.356,,142.5,0.0357,0.0029,0.0029,,,0.00591,0.0037,0.0037,,,
,5.55,1.98,-0.242,0.356,,157.5,0.0336,0.003,0.003,,,-0.00000437,0.0037,0.0037,,,
,5.55,1.98,-0.242,0.356,,172.5,0.0355,0.003,0.003,,,0.002,0.0037,0.0037,,,
,5.55,1.98,-0.242,0.356,,187.5,0.0311,0.0029,0.0029,,,-0.000931,0.0037,0.0037,,,
,5.55,1.98,-0.242,0.356,,202.5,0.0326,0.003,0.003,,,-0.00403,0.0038,0.0038,,,
,5.55,1.98,-0.242,0.356,,217.5,0.0398,0.0031,0.0031,,,-0.00103,0.0038,0.0038,,,
,5.55,1.98,-0.242,0.356,,232.5,0.0457,0.0033,0.0033,,,-0.00184,0.0039,0.0039,,,
,5.55,1.98,-0.242,0.356,,247.5,0.0407,0.0033,0.0033,,,-0.0117,0.0041,0.0041,,,
,5.55,1.98,-0.242,0.356,,262.5,0.0484,0.0037,0.0037,,,-0.0146,0.0044,0.0044,,,
,5.55,1.98,-0.242,0.356,,277.5,0.0567,0.0039,0.0039,,,-0.00768,0.0047,0.0047,,,
,5.55,1.98,-0.242,0.356,,292.5,0.0614,0.0042,0.0042,,,-0.00572,0.0052,0.0052,,,
,5.55,1.98,-0.242,0.356,,307.5,0.0715,0.0045,0.0045,,,-0.0186,0.0057,0.0057,,,
,5.55,1.98,-0.242,0.356,,322.5,0.0861,0.0049,0.0049,,,-0.00948,0.0062,0.0062,,,
,5.55,1.98,-0.242,0.356,,337.5,0.0973,0.0051,0.0051,,,0.000504,0.0066,0.0066,,,
,5.55,1.98,-0.242,0.356,,352.5,0.0987,0.0053,0.0053,,,0.0109,0.0069,0.0069,,,
,5.55,1.98,-0.302,0.356,,7.5,0.1075,0.0062,0.0062,,,-0.00324,0.0073,0.0073,,,
,5.55,1.98,-0.302,0.356,,22.5,0.0938,0.0057,0.0057,,,0.0092,0.0067,0.0067,,,
,5.55,1.98,-0.302,0.356,,37.5,0.0737,0.0049,0.0049,,,0.00192,0.006,0.006,,,
,5.55,1.98,-0.302,0.356,,52.5,0.0615,0.0043,0.0043,,,0.0133,0.0052,0.0052,,,
,5.55,1.98,-0.302,0.356,,67.5,0.0433,0.0037,0.0037,,,0.0126,0.0046,0.0046,,,
,5.55,1.98,-0.302,0.356,,82.5,0.0471,0.0036,0.0036,,,0.00795,0.0042,0.0042,,,
,5.55,1.98,-0.302,0.356,,97.5,0.0409,0.0034,0.0034,,,0.00616,0.0039,0.0039,,,
,5.55,1.98,-0.302,0.356,,112.5,0.0366,0.0032,0.0032,,,0.00738,0.0035,0.0035,,,
,5.55,1.98,-0.302,0.356,,127.5,0.0264,0.0029,0.0029,,,0.00399,0.0034,0.0034,,,
,5.55,1.98,-0.302,0.356,,142.5,0.0259,0.003,0.003,,,0.00451,0.0035,0.0035,,,
,5.55,1.98,-0.302,0.356,,157.5,0.0229,0.003,0.003,,,0.000998,0.0035,0.0035,,,
,5.55,1.98,-0.302,0.356,,172.5,0.032,0.0033,0.0033,,,-0.00111,0.0036,0.0036,,,
,5.55,1.98,-0.302,0.356,,187.5,0.026,0.0031,0.0031,,,-0.000779,0.0036,0.0036,,,
,5.55,1.98,-0.302,0.356,,202.5,0.0307,0.0032,0.0032,,,0.0049,0.0036,0.0036,,,
,5.55,1.98,-0.302,0.356,,217.5,0.0194,0.0028,0.0028,,,-0.00306,0.0035,0.0035,,,
,5.55,1.98,-0.302,0.356,,232.5,0.0284,0.0031,0.0031,,,-0.00338,0.0035,0.0035,,,
,5.55,1.98,-0.302,0.356,,247.5,0.0388,0.0034,0.0034,,,-0.00357,0.0037,0.0037,,,
,5.55,1.98,-0.302,0.356,,262.5,0.0388,0.0035,0.0035,,,-0.0105,0.004,0.004,,,
,5.55,1.98,-0.302,0.356,,277.5,0.0452,0.0038,0.0038,,,-0.00823,0.0044,0.0044,,,
,5.55,1.98,-0.302,0.356,,292.5,0.0504,0.0042,0.0042,,,-0.0123,0.0049,0.0049,,,
,5.55,1.98,-0.302,0.356,,307.5,0.0659,0.0045,0.0045,,,-0.0079,0.0054,0.0054,,,
,5.55,1.98,-0.302,0.356,,322.5,0.0722,0.005,0.005,,,-0.0103,0.0061,0.0061,,,
,5.55,1.98,-0.302,0.356,,337.5,0.0858,0.0055,0.0055,,,-0.00968,0.0067,0.0067,,,
,5.55,1.98,-0.302,0.356,,352.5,0.1015,0.0062,0.0062,,,-0.0136,0.0072,0.0072,,,
,5.55,1.99,-0.363,0.358,,7.5,0.0981,0.007,0.007,,,0.0027,0.0076,0.0076,,,
,5.55,1.99,-0.363,0.358,,22.5,0.0806,0.0061,0.0061,,,0.00272,0.0069,0.0069,,,
,5.55,1.99,-0.363,0.358,,37.5,0.0612,0.0049,0.0049,,,0.00798,0.0057,0.0057,,,
,5.55,1.99,-0.363,0.358,,52.5,0.0527,0.0041,0.0041,,,0.017,0.0049,0.0049,,,
,5.55,1.99,-0.363,0.358,,67.5,0.0445,0.0037,0.0037,,,0.00992,0.0043,0.0043,,,
,5.55,1.99,-0.363,0.358,,82.5,0.035,0.0034,0.0034,,,0.00643,0.0038,0.0038,,,
