set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
1,0,5.75,1.82,0.343,-0.172,7.5,0.11160,0.00492,0.04409,0.68309,1.09312
1,1,5.75,1.82,0.343,-0.172,22.5,0.11760,0.00468,0.0398,0.68309,1.09312
1,2,5.75,1.82,0.343,-0.172,37.5,0.09980,0.00420,0.04208,0.68309,1.09312
1,3,5.75,1.82,0.343,-0.172,52.5,0.09410,0.00396,0.04208,0.68309,1.09312
1,4,5.75,1.82,0.343,-0.172,67.5,0.08820,0.00360,0.04082,0.68309,1.09312
1,5,5.75,1.82,0.343,-0.172,82.5,0.07870,0.00336,0.04269,0.68309,1.09312
1,6,5.75,1.82,0.343,-0.172,97.5,0.06720,0.00312,0.04643,0.68309,1.09312
1,7,5.75,1.82,0.343,-0.172,112.5,0.06080,0.00288,0.04737,0.68309,1.09312
1,8,5.75,1.82,0.343,-0.172,127.5,0.05750,0.00276,0.048,0.68309,1.09312
1,9,5.75,1.82,0.343,-0.172,142.5,0.05010,0.00252,0.0503,0.68309,1.09312
1,10,5.75,1.82,0.343,-0.172,157.5,0.04990,0.00252,0.0505,0.68309,1.09312
1,11,5.75,1.82,0.343,-0.172,172.5,0.04810,0.00240,0.0499,0.68309,1.09312
1,12,5.75,1.82,0.343,-0.172,187.5,0.04830,0.00240,0.04969,0.68309,1.09312
1,13,5.75,1.82,0.343,-0.172,202.5,0.05320,0.00252,0.04737,0.68309,1.09312
1,14,5.75,1.82,0.343,-0.172,217.5,0.05270,0.00264,0.05009,0.68309,1.09312
1,15,5.75,1.82,0.343,-0.172,232.5,0.05520,0.00264,0.04783,0.68309,1.09312
1,16,5.75,1.82,0.343,-0.172,247.5,0.05850,0.00276,0.04718,0.68309,1.09312
1,17,5.75,1.82,0.343,-0.172,262.5,0.06310,0.00288,0.04564,0.68309,1.09312
1,18,5.75,1.82,0.343,-0.172,277.5,0.07420,0.00324,0.04367,0.68309,1.09312
1,19,5.75,1.82,0.343,-0.172,292.5,0.08180,0.00348,0.04254,0.68309,1.09312
1,20,5.75,1.82,0.343,-0.172,307.5,0.09670,0.00384,0.03971,0.68309,1.09312
1,21,5.75,1.82,0.343,-0.172,322.5,0.10560,0.00420,0.03977,0.68309,1.09312
1,22,5.75,1.82,0.343,-0.172,337.5,0.10860,0.00456,0.04199,0.68309,1.09312
1,23,5.75,1.82,0.343,-0.172,352.5,0.11360,0.00480,0.04225,0.68309,1.09312